trial_id,condition,T_trial_s,CE_velocity,n_gripper_press,gripper_rate_hz,n_mode_switch,raw_csv
1,B3,168.367821,0.052929,1,0.005939,2,B3_trial_01_raw.csv
2,B3,126.631452,0.020811,3,0.023691,2,B3_trial_02_raw.csv
3,B3,94.637092,0.000787,0,0.000000,0,B3_trial_03_raw.csv
4,B3,178.461643,0.050978,3,0.016810,2,B3_trial_04_raw.csv
5,B3,138.608518,0.016942,3,0.021644,2,B3_trial_05_raw.csv
6,B3,158.511544,0.058181,1,0.006309,2,B3_trial_06_raw.csv
7,B3,116.379745,0.029342,3,0.025778,2,B3_trial_07_raw.csv
8,B3,182.776817,0.048001,3,0.016413,2,B3_trial_08_raw.csv
9,B3,89.606998,0.003832,0,0.000000,0,B3_trial_09_raw.csv
10,B3,182.684044,0.033704,2,0.010948,2,B3_trial_10_raw.csv
11,B3,166.779140,0.054571,0,0.000000,2,B3_trial_11_raw.csv
12,B3,183.266586,0.066242,1,0.005457,4,B3_trial_12_raw.csv
13,B3,121.741516,0.063472,0,0.000000,0,B3_trial_13_raw.csv
14,B3,115.690810,0.022127,0,0.000000,0,B3_trial_14_raw.csv
15,B3,148.584192,0.048124,0,0.000000,0,B3_trial_15_raw.csv
16,B3,168.376240,0.058863,1,0.005939,2,B3_trial_16_raw.csv
17,B3,118.694412,0.031224,0,0.000000,0,B3_trial_17_raw.csv
18,B3,131.145242,0.051135,0,0.000000,0,B3_trial_18_raw.csv
19,B3,150.478951,0.060276,0,0.000000,0,B3_trial_19_raw.csv
20,B3,184.643450,0.073063,3,0.016248,2,B3_trial_20_raw.csv
